Time,Distance,GPS_Speed,GPS_Latitude,GPS_Longitude
0,0,138.535004,-33.39607072,-60.20154692
0.1,0.004,139.035004,-33.39609268,-60.20151445
0.2,0.008,139.535004,-33.39611466,-60.20148178
0.3,0.012,140.035004,-33.39613665,-60.20144893
0.4,0.016,140.535004,-33.39615867,-60.20141584
0.5,0.019,141.035004,-33.39618071,-60.20138258
0.6,0.023,141.535004,-33.39620276,-60.20134916
0.7,0.027,142.062012,-33.39622483,-60.20131559
0.8,0.031,142.634995,-33.39624692,-60.20128187
0.9,0.035,143.112,-33.39626924,-60.20124764
1,0.039,143.512009,-33.39629136,-60.20121362
1.1,0.043,143.912003,-33.3963135,-60.20117947
1.2,0.047,144.283997,-33.39633567,-60.2011452
1.3,0.051,144.612,-33.39635788,-60.20111081
1.4,0.055,145.012009,-33.39638013,-60.20107627
1.5,0.059,145.412003,-33.39640244,-60.20104163
1.6,0.063,145.811996,-33.39642479,-60.20100689
1.7,0.067,146.240005,-33.3964472,-60.20097205
1.8,0.072,146.712006,-33.39646966,-60.20093711
1.9,0.076,147.112,-33.3964922,-60.20090206
2,0.08,147.512009,-33.39651479,-60.20086691
2.1,0.084,147.912003,-33.39653744,-60.20083168
2.2,0.088,148.283997,-33.39656013,-60.20079636
2.3,0.092,148.612,-33.39658287,-60.20076096
2.4,0.096,149.012009,-33.39660568,-60.20072545
2.5,0.1,149.384003,-33.39662853,-60.20068987
2.6,0.105,149.712006,-33.39665143,-60.20065421
2.7,0.109,150.087006,-33.39667461,-60.20061813
2.8,0.113,150.416,-33.3966976,-60.20058234
2.9,0.117,150.787003,-33.39672067,-60.20054646
3,0.121,151.115997,-33.3967438,-60.20051051
3.1,0.126,151.487,-33.39676699,-60.20047449
3.2,0.13,151.787003,-33.39679023,-60.20043841
3.3,0.134,152.087006,-33.39681353,-60.20040226
3.4,0.138,152.387009,-33.3968369,-60.20036602
3.5,0.142,152.687012,-33.39686033,-60.20032973
3.6,0.147,152.987,-33.39688381,-60.20029337
3.7,0.151,153.287003,-33.39690734,-60.20025696
3.8,0.155,153.587006,-33.39693092,-60.2002205
3.9,0.16,153.887009,-33.39695455,-60.20018399
4,0.164,154.187012,-33.39697822,-60.20014744
4.1,0.168,154.458008,-33.39700191,-60.20011087
4.2,0.172,154.628998,-33.39702564,-60.20007426
4.3,0.177,154.757996,-33.39704938,-60.20003763
4.4,0.181,154.930008,-33.39707339,-60.20000058
4.5,0.185,155.059998,-33.39709719,-60.19996386
4.6,0.19,155.259995,-33.39712102,-60.19992708
4.7,0.194,155.490005,-33.39714488,-60.19989026
4.8,0.198,155.759995,-33.39716876,-60.19985336
4.9,0.203,155.990005,-33.39719269,-60.1998164
5,0.207,156.289993,-33.39721665,-60.19977937
5.1,0.211,156.589996,-33.39724065,-60.19974227
5.2,0.216,156.860001,-33.39726468,-60.19970511
5.3,0.22,157.059998,-33.39728871,-60.19966796
5.4,0.224,157.259995,-33.39731284,-60.19963067
5.5,0.229,157.430008,-33.39733697,-60.19959338
5.6,0.233,157.589996,-33.39736114,-60.19955604
5.7,0.238,157.860001,-33.39738537,-60.19951865
5.8,0.242,158.059998,-33.39740965,-60.19948121
5.9,0.246,158.289993,-33.39743399,-60.19944371
6,0.251,158.589996,-33.39745839,-60.19940616
6.1,0.255,158.860001,-33.39748285,-60.19936857
6.2,0.26,159.093002,-33.39750761,-60.19933057
6.3,0.264,159.362,-33.39753217,-60.1992929
6.4,0.268,159.593002,-33.39755682,-60.19925518
6.5,0.273,159.831009,-33.39758152,-60.19921744
6.6,0.277,159.993011,-33.3976063,-60.19917968
6.7,0.282,160.231003,-33.39763114,-60.19914191
6.8,0.286,160.362,-33.39765604,-60.19910412
6.9,0.291,160.593002,-33.39768103,-60.19906632
7,0.295,160.862,-33.39770609,-60.19902852
7.1,0.3,161.061996,-33.39773119,-60.19899071
7.2,0.304,161.231003,-33.39775635,-60.19895288
7.3,0.309,161.362,-33.39778155,-60.19891505
7.4,0.313,161.561996,-33.39780682,-60.19887721
7.5,0.318,161.761993,-33.39783213,-60.19883935
7.6,0.322,161.931,-33.3978575,-60.19880149
7.7,0.327,162.061996,-33.39788293,-60.19876361
7.8,0.331,162.261993,-33.3979084,-60.19872572
7.9,0.336,162.432007,-33.39793419,-60.19868742
8,0.34,162.563995,-33.39795978,-60.19864948
8.1,0.345,162.764008,-33.3979854,-60.19861151
8.2,0.349,162.964005,-33.39801107,-60.19857352
8.3,0.354,163.132004,-33.39803676,-60.19853549
8.4,0.358,163.264008,-33.39806249,-60.19849742
8.5,0.363,163.464005,-33.39808826,-60.19845933
8.6,0.367,163.632004,-33.39811405,-60.1984212
8.7,0.372,163.764008,-33.39813987,-60.19838304
8.8,0.376,163.964005,-33.39816571,-60.19834486
8.9,0.381,164.132004,-33.39819159,-60.19830664
9,0.386,164.264008,-33.3982175,-60.1982684
9.1,0.39,164.432007,-33.39824344,-60.19823013
9.2,0.395,164.531998,-33.39826941,-60.19819183
9.3,0.399,164.664001,-33.3982954,-60.19815352
9.4,0.404,164.832001,-33.39832144,-60.19811518
9.5,0.408,164.932007,-33.39834752,-60.19807683
9.6,0.413,165.031998,-33.39837363,-60.19803847
9.7,0.418,165.166,-33.39840004,-60.19799971
9.8,0.422,165.333008,-33.39842623,-60.19796134
9.9,0.427,165.432999,-33.39845247,-60.19792295
10,0.431,165.565994,-33.39847876,-60.19788457
10.1,0.436,165.733002,-33.39850508,-60.19784618
10.2,0.441,165.833008,-33.39853143,-60.19780779
10.3,0.445,165.932999,-33.39855703,-60.19777055
10.4,0.45,166.033005,-33.39857025,-60.19775134
10.5,0.455,166.132996,-33.39858346,-60.19773214
10.6,0.459,166.216492,-33.39859668,-60.19771293
10.7,0.464,166.266495,-33.39860991,-60.19769372
10.8,0.468,166.333008,-33.39862545,-60.19767116
10.9,0.473,166.499008,-33.39867721,-60.19759604
11,0.478,166.766006,-33.39873101,-60.19751791
11.1,0.482,166.932999,-33.39876982,-60.1974615
11.2,0.487,167.033005,-33.39879639,-60.19742284
11.3,0.492,167.132996,-33.39882296,-60.19738413
11.4,0.496,167.268005,-33.39884979,-60.19734498
11.5,0.501,167.468002,-33.39887634,-60.19730617
11.6,0.506,167.56601,-33.39890287,-60.19726734
11.7,0.51,167.533997,-33.39892935,-60.19722852
11.8,0.515,167.532013,-33.39895578,-60.19718973
11.9,0.52,167.264008,-33.3989821,-60.19715104
12,0.524,166.796005,-33.3990083,-60.19711249
12.1,0.529,166.162003,-33.39903438,-60.19707412
12.2,0.533,165.326004,-33.39906033,-60.19703594
12.3,0.538,164.26001,-33.39908614,-60.196998
12.4,0.542,163.26001,-33.39911177,-60.19696037
12.5,0.547,162.192001,-33.39913724,-60.19692304
12.6,0.551,161.026001,-33.39916256,-60.19688598
12.7,0.556,159.925995,-33.39918773,-60.19684922
12.8,0.56,158.757996,-33.39921275,-60.19681276
12.9,0.565,157.458008,-33.39923754,-60.1967767
13,0.569,156.158005,-33.39926213,-60.19674103
13.1,0.573,154.755997,-33.39928649,-60.19670573
13.2,0.578,153.104996,-33.39931087,-60.19667048
13.3,0.582,151.404999,-33.39933478,-60.19663598
13.4,0.586,149.705002,-33.39935842,-60.19660197
13.5,0.59,147.970001,-33.39938182,-60.19656839
13.6,0.594,146.275009,-33.39940504,-60.19653519
13.7,0.598,144.740005,-33.39942812,-60.19650236
13.8,0.602,143.209991,-33.39945106,-60.1964699
13.9,0.606,141.880005,-33.39947392,-60.19643789
14,0.61,140.714996,-33.39949672,-60.19640632
14.1,0.614,139.544998,-33.39951952,-60.19637518
14.2,0.618,138.349991,-33.39954233,-60.1963445
14.3,0.621,137.315002,-33.39956517,-60.1963143
14.4,0.625,136.180008,-33.39958808,-60.19628476
14.5,0.629,134.945007,-33.39961109,-60.19625583
14.6,0.633,133.714996,-33.3996342,-60.19622748
14.7,0.636,132.615005,-33.39965744,-60.19619971
14.8,0.64,131.550003,-33.39968084,-60.19617251
14.9,0.644,130.540009,-33.39970471,-60.19614577
15,0.647,129.540009,-33.39972853,-60.19611993
15.1,0.651,128.612015,-33.39975263,-60.19609488
15.2,0.654,127.812004,-33.3997769,-60.19607031
15.3,0.658,127.048004,-33.39980122,-60.19604588
15.4,0.662,126.384003,-33.39982605,-60.19602284
15.5,0.665,125.748001,-33.39985087,-60.19599981
15.6,0.668,125.120003,-33.39987596,-60.19597747
15.7,0.672,124.692001,-33.39990135,-60.19595588
15.8,0.675,124.32,-33.39992699,-60.19593492
